source_sheet,SCHOOL,POSITION,NAME,HEIGHT,WEIGHT,CLASS,BIRTHPLACE
Big 10,NEBRASKA,WR2,Kwazi Gilmer,"6' 2""",190 lbs,JR,"Los Angeles, CA"
Big 10,NEBRASKA,WR3,Jacory Barney Jr.,"6' 0""",170 lbs,JR,"Florida City, FL"
Big 10,NEBRASKA,WR4,Quinn Clark,"6' 5""",210 lbs,SO,"Bozeman, MT"
Big 10,NEBRASKA,TE1,Luke Lindenmeyer,"6' 3""",250 lbs,SR,"La Vista, NE"
Big 10,NEBRASKA,TE2,Carter Nelson,"6' 5""",240 lbs,JR,"Ainsworth, NE"
Big 10,NEBRASKA,K,Kyle Cunanan,"5' 10""",180 lbs,JR,"Phoenix, AZ"
Big 10,NORTHWESTERN,QB1,Aidan Chiles,"6' 3""",225 lbs,SR,"Long Beach, CA"
Big 10,NORTHWESTERN,QB2,Nicco Marchiol,"6' 2""",235 lbs,SR,"Chandler, AZ"
Big 10,NORTHWESTERN,RB1,Caleb Komolafe,"5' 11""",210 lbs,JR,"Katy, TX"
Big 10,NORTHWESTERN,RB2,Gavin Sawchuk,"5' 11""",202 lbs,SR,"Littleton, CO"
Big 10,NORTHWESTERN,RB3,Joseph Himon II,"5' 9""",190 lbs,SR,"Little Rock, AR"
Big 10,NORTHWESTERN,WR1,Hayden Eligon II,"6' 4""",210 lbs,JR,"Lakewood, CA"
Big 10,NORTHWESTERN,WR2,Griffin Wilde,"6' 2""",200 lbs,SR,"Sioux Falls, SD"
Big 10,NORTHWESTERN,WR3,Drew Wagner,"5' 10""",185 lbs,JR,"Delafield, WI"
Big 10,NORTHWESTERN,WR4,Ricky Ahumaraeze,"6' 4""",210 lbs,JR,"Kansas City, MO"
Big 10,NORTHWESTERN,TE1,Alex Honig,"6' 7""",270 lbs,SR,"Bavaria, Germany"
Big 10,NORTHWESTERN,TE2,Luke Dehnicke,"6' 3""",210 lbs,FR,"Andover, MN"
Big 10,NORTHWESTERN,K,Jackson Kleather,"5' 10""",185 lbs,SR,"Tipp City, OH"
Big 10,OREGON,QB1,Dante Moore,"6' 3""",206 lbs,JR,"Detroit, MI"
Big 10,OREGON,QB2,Dylan Raiola,"6' 3""",230 lbs,JR,"Buford, GA"
Big 10,OREGON,RB1,Jordon Davison,"6' 0""",236 lbs,SO,"Santa Ana, CA"
Big 10,OREGON,RB2,Dierre Hill Jr.,"5' 11""",205 lbs,SO,"Centralia, IL"
Big 10,OREGON,RB3,Da'Jaun Riggs,"6' 0""",205 lbs,SO,"Washington, DC"
Big 10,OREGON,WR1,Evan Stewart,"6' 0""",170 lbs,SR,"Memphis, TN"
Big 10,OREGON,WR2,Dakorien Moore,"5' 11""",195 lbs,SO,"Duncanville, TX"
Big 10,OREGON,WR3,Jeremiah McClellan,"6' 0""",195 lbs,SO,"St. Louis, MO"
Big 10,OREGON,WR4,Gatlin Bair,"6' 2""",190 lbs,FR,"Burley, ID"
Big 10,OREGON,TE1,Jamari Johnson,"6' 5""",257 lbs,JR,"Inglewood, CA"
Big 10,OREGON,TE2,Andrew Olesh,"6' 5""",226 lbs,SO,"Center Valley, PA"
Big 10,OREGON,K,Gage Hurych,"6' 1""",189 lbs,SO,"West Linn, OR"
Big 10,PENN STATE,QB1,Rocco Becht,"6' 1""",210 lbs,SR,"Wesley Chapel, FL"
Big 10,PENN STATE,QB2,Alex Manske,"6' 3""",225 lbs,SO,"Algona, IA"
Big 10,PENN STATE,RB1,Carson Hansen,"6' 2""",220 lbs,SR,"Lakeville, MN"
Big 10,PENN STATE,RB2,James Peoples,"5' 10""",206 lbs,JR,"San Antonio, TX"
Big 10,PENN STATE,RB3,Quinton Martin Jr.,"6' 1""",206 lbs,SO,"Belle Vernon, PA"
Big 10,PENN STATE,WR1,Chase Sowell,"6' 3""",210 lbs,SR,"Humble, TX"
Big 10,PENN STATE,WR2,Brett Eskildsen,"6' 1""",200 lbs,JR,"Frisco, TX"
Big 10,PENN STATE,WR3,Koby Howard,"5' 11""",202 lbs,SO,"Pensacola, FL"
Big 10,PENN STATE,WR4,Zay Robinson,"5' 11""",185 lbs,SO,"Des Moines, IA"
Big 10,PENN STATE,TE1A,Benjamin Brahmer,"6' 7""",255 lbs,SR,"Pierce, NE"
Big 10,PENN STATE,TE1B,Andrew Rappleyea,"6' 4""",251 lbs,JR,"Millbrook, NY"
Big 10,PENN STATE,K,Ryan Barker,"6' 2""",202 lbs,JR,"Landenberg, PA"
Big 10,PURDUE,QB1,Ryan Browne,"6' 4""",210 lbs,JR,"Clarkston, MI"
Big 10,PURDUE,QB2,Evans Chuba,"6' 4""",220 lbs,SO,"Montreal, PQ"
Big 10,PURDUE,RB1,Fame Ijeboi,"6' 0""",210 lbs,SO,"Folcroft, PA"
Big 10,PURDUE,RB2,Jerrick Gibson,"5' 10""",206 lbs,JR,"Gainesville, FL"
